Site,Buddy,Family,Species,Date,Time (s),Macro-algal Bites,Turf/filamentous algal Bites,Live Coral Bites,Dead Coral (With Algae),CoTS Scars ,Sponge Bites,Sediment,Unknown 
Red Rock Wall,B,Parrotfish,Purple,10/01/2025,210,5,30,2,0,0,0,0,0
Red Rock Wall,B,Parrotfish,Surf,10/01/2025,180,15,88,0,0,0,0,0,0
Red Rock Wall,B,Parrotfish,Surf,10/07/2025,180,0,0,0,0,0,0,0,0
Red Rock Wall,B,Parrotfish,Surf,10/07/2025,180,0,23,13,0,0,0,0,0
Red Rock Wall,B,Parrotfish,Blue-barred,10/07/2025,210,5,25,9,0,0,2,0,4
Red Rock Wall,B,Parrotfish,Surf,10/15/2025,190,1,20,0,0,0,0,0,1
Red Rock Wall,B,Parrotfish,Surf,10/15/2025,190,0,35,0,0,0,0,18,0
Red Rock Wall,B,Parrotfish,Surf,10/15/2025,180,0,11,0,0,0,0,15,0
Red Rock Wall,A,Rabbitfish,Virgate,10/01/2025,190,0,12,0,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/01/2025,190,0,23,14,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/01/2025,180,1,29,0,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/07/2025,180,18,28,0,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/07/2025,180,5,49,0,0,0,0,5,0
Red Rock Wall,A,Rabbitfish,Virgate,10/07/2025,190,9,52,6,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/15/2025,190,0,42,0,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/15/2025,180,2,65,1,0,0,0,0,0
Red Rock Wall,A,Rabbitfish,Virgate,10/15/2025,200,0,35,0,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/01/2025,190,0,11,0,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/01/2025,190,0,32,4,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/01/2025,180,0,36,0,0,0,0,2,0
Red Rock Wall,B,Rabbitfish,Virgate,10/07/2025,180,22,25,0,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/07/2025,180,4,39,0,0,0,0,4,0
Red Rock Wall,B,Rabbitfish,Virgate,10/07/2025,190,15,63,6,0,0,0,0,2
Red Rock Wall,B,Rabbitfish,Virgate,10/15/2025,190,0,47,0,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/15/2025,180,3,76,2,0,0,0,0,0
Red Rock Wall,B,Rabbitfish,Virgate,10/15/2025,200,0,23,2,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,Weibel,10/01/2025,180,0,3,8,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,8-banded,10/01/2025,180,0,2,10,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,8-banded,10/01/2025,190,0,4,29,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,Weibel,10/07/2025,210,0,13,20,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,8-banded,10/07/2025,180,0,5,3,0,0,0,0,1
Red Rock Wall,A,Butterflyfish,8-banded,10/07/2025,190,0,6,16,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,8-banded,10/15/2025,200,0,14,0,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,Weibel,10/15/2025,190,1,19,3,0,0,0,0,0
Red Rock Wall,A,Butterflyfish,8-banded,10/15/2025,200,0,20,9,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,Weibel,10/01/2025,180,0,4,6,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,8-banded,10/01/2025,180,1,0,7,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,8-banded,10/01/2025,190,0,11,18,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,Weibel,10/07/2025,210,0,5,21,0,0,0,0,1
Red Rock Wall,B,Butterflyfish,8-banded,10/07/2025,180,2,2,5,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,8-banded,10/07/2025,190,1,4,8,0,0,0,0,1
Red Rock Wall,B,Butterflyfish,8-banded,10/15/2025,200,0,11,0,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,Weibel,10/15/2025,190,2,25,1,0,0,0,0,0
Red Rock Wall,B,Butterflyfish,8-banded,10/15/2025,200,0,21,3,0,0,0,1,1
